No.,JOBNAME,SCHEDTABLE,APPLICATION,SUB-APPLICATION,RUN AS,ORDER ID,ODATE,START TIME,END TIME,RUN TIME,RUN COUNTER,ENDED STATUS,HOST,CPUTIME
12,PMFICP0008,CR-PEMFIDIA-T02,MFI-PE-DATIO,MFI-RAW-CCR-RC,sentry,465kx,20250116,2025-01-17 2:06:37,2025-01-17 2:09:04,0:02:27,1,OK,PE-SENTRY-00,0:00:00
13,PMFICP0008,CR-PEMFIDIA-T02,MFI-PE-DATIO,MFI-RAW-CCR-RC,sentry,49nf0,20250117,2025-01-18 3:29:00,2025-01-18 3:31:26,0:02:26,1,OK,PE-SENTRY-00,0:00:00
14,PMFICP0008,CR-PEMFIDIA-T02,MFI-PE-DATIO,MFI-RAW-CCR-RC,sentry,4gas8,20250120,2025-01-21 5:48:57,2025-01-21 5:51:24,0:02:27,1,OK,PE-SENTRY-00,0:00:00
15,PMFICP0008,CR-PEMFIDIA-T02,MFI-PE-DATIO,MFI-RAW-CCR-RC,sentry,4j7b0,20250121,2025-01-22 2:00:40,2025-01-22 2:03:07,0:02:27,1,OK,PE-SENTRY-00,0:00:00
1,PMFICP0007,CR-PEMFIDIA-T02,MFI-PE-DATIO,MFI-HAMMURABI-CCR-RC,sentry,2snk8,20241231,2025-01-01 2:48:02,2025-01-01 2:50:28,0:02:26,1,OK,PE-SENTRY-00,0:00:00
2,PMFICP0007,CR-PEMFIDIA-T02,MFI-PE-DATIO,MFI-HAMMURABI-CCR-RC,sentry,2xdet,20250102,2025-01-03 2:34:27,2025-01-03 2:36:53,0:02:26,1,OK,PE-SENTRY-00,0:00:00
3,PMFICP0007,CR-PEMFIDIA-T02,MFI-PE-DATIO,MFI-HAMMURABI-CCR-RC,sentry,30ln2,20250103,2025-01-04 2:10:48,2025-01-04 2:13:14,0:02:26,1,OK,PE-SENTRY-00,0:00:00
4,PMFICP0007,CR-PEMFIDIA-T02,MFI-PE-DATIO,MFI-HAMMURABI-CCR-RC,sentry,3708h,20250106,2025-01-07 2:41:47,2025-01-07 2:44:14,0:02:27,1,OK,PE-SENTRY-00,0:00:00
5,PMFICP0007,CR-PEMFIDIA-T02,MFI-PE-DATIO,MFI-HAMMURABI-CCR-RC,sentry,3a1tf,20250107,2025-01-08 1:51:08,2025-01-08 1:53:35,0:02:27,1,OK,PE-SENTRY-00,0:00:00
6,PMFICP0007,CR-PEMFIDIA-T02,MFI-PE-DATIO,MFI-HAMMURABI-CCR-RC,sentry,3dfq4,20250108,2025-01-09 2:04:21,2025-01-09 2:06:47,0:02:26,1,OK,PE-SENTRY-00,0:00:00
7,PMFICP0007,CR-PEMFIDIA-T02,MFI-PE-DATIO,MFI-HAMMURABI-CCR-RC,sentry,3jx9z,20250109,2025-01-10 1:47:08,2025-01-10 1:49:34,0:02:26,1,OK,PE-SENTRY-00,0:00:00
8,PMFICP0007,CR-PEMFIDIA-T02,MFI-PE-DATIO,MFI-HAMMURABI-CCR-RC,sentry,3nphz,20250110,2025-01-11 2:48:15,2025-01-11 2:50:42,0:02:27,1,OK,PE-SENTRY-00,0:00:00
9,PMFICP0007,CR-PEMFIDIA-T02,MFI-PE-DATIO,MFI-HAMMURABI-CCR-RC,sentry,3u8ye,20250113,2025-01-14 2:13:31,2025-01-14 2:15:57,0:02:26,1,OK,PE-SENTRY-00,0:00:00
10,PMFICP0007,CR-PEMFIDIA-T02,MFI-PE-DATIO,MFI-HAMMURABI-CCR-RC,sentry,3xfu4,20250114,2025-01-15 1:57:39,2025-01-15 2:01:20,0:03:41,1,OK,PE-SENTRY-00,0:00:00
11,PMFICP0007,CR-PEMFIDIA-T02,MFI-PE-DATIO,MFI-HAMMURABI-CCR-RC,sentry,40tn7,20250115,2025-01-16 1:52:37,2025-01-16 1:55:03,0:02:26,1,OK,PE-SENTRY-00,0:00:00
12,PMFICP0007,CR-PEMFIDIA-T02,MFI-PE-DATIO,MFI-HAMMURABI-CCR-RC,sentry,448we,20250116,2025-01-17 2:02:57,2025-01-17 2:06:37,0:03:40,1,OK,PE-SENTRY-00,0:00:00
13,PMFICP0007,CR-PEMFIDIA-T02,MFI-PE-DATIO,MFI-HAMMURABI-CCR-RC,sentry,47qjb,20250117,2025-01-18 3:26:33,2025-01-18 3:29:00,0:02:27,1,OK,PE-SENTRY-00,0:00:00
14,PMFICP0007,CR-PEMFIDIA-T02,MFI-PE-DATIO,MFI-HAMMURABI-CCR-RC,sentry,4e2nx,20250120,2025-01-21 5:46:31,2025-01-21 5:48:57,0:02:26,1,OK,PE-SENTRY-00,0:00:00
15,PMFICP0007,CR-PEMFIDIA-T02,MFI-PE-DATIO,MFI-HAMMURABI-CCR-RC,sentry,4hftt,20250121,2025-01-22 1:58:14,2025-01-22 2:00:40,0:02:26,1,OK,PE-SENTRY-00,0:00:00
1,PMFICP0004,CR-PEMFIDIA-T02,MFI-PE-DATIO,MFI-MASTER-CCR,sentry,2u6nv,20241231,2025-01-01 4:05:23,2025-01-01 4:09:03,0:03:40,1,OK,PE-SENTRY-00,0:00:00
2,PMFICP0004,CR-PEMFIDIA-T02,MFI-PE-DATIO,MFI-MASTER-CCR,sentry,2z3bh,20250102,2025-01-03 4:05:27,2025-01-03 4:07:54,0:02:27,1,OK,PE-SENTRY-00,0:00:00
3,PMFICP0004,CR-PEMFIDIA-T02,MFI-PE-DATIO,MFI-MASTER-CCR,sentry,32dpi,20250103,2025-01-04 4:05:24,2025-01-04 4:09:03,0:03:39,1,OK,PE-SENTRY-00,0:00:00
4,PMFICP0004,CR-PEMFIDIA-T02,MFI-PE-DATIO,MFI-MASTER-CCR,sentry,38lh0,20250106,2025-01-07 4:05:28,2025-01-07 4:09:08,0:03:40,1,OK,PE-SENTRY-00,0:00:00
5,PMFICP0004,CR-PEMFIDIA-T02,MFI-PE-DATIO,MFI-MASTER-CCR,sentry,3bsiu,20250107,2025-01-08 4:05:27,2025-01-08 4:09:07,0:03:40,1,OK,PE-SENTRY-00,0:00:00
6,PMFICP0004,CR-PEMFIDIA-T02,MFI-PE-DATIO,MFI-MASTER-CCR,sentry,3f6nz,20250108,2025-01-09 4:05:31,2025-01-09 4:09:11,0:03:40,1,OK,PE-SENTRY-00,0:00:00
7,PMFICP0004,CR-PEMFIDIA-T02,MFI-PE-DATIO,MFI-MASTER-CCR,sentry,3m197,20250109,2025-01-10 4:06:47,2025-01-10 4:10:27,0:03:40,1,OK,PE-SENTRY-00,0:00:00
8,PMFICP0004,CR-PEMFIDIA-T02,MFI-PE-DATIO,MFI-MASTER-CCR,sentry,3pn09,20250110,2025-01-11 4:06:33,2025-01-11 4:08:59,0:02:26,1,OK,PE-SENTRY-00,0:00:00
9,PMFICP0004,CR-PEMFIDIA-T02,MFI-PE-DATIO,MFI-MASTER-CCR,sentry,3vx91,20250113,2025-01-14 4:05:20,2025-01-14 4:09:00,0:03:40,1,OK,PE-SENTRY-00,0:00:00
